Title,X,Y,A,B,nt,na,model,pvalue,effect_size,npermutations
Gender,Male,Female,sadness,not sadness,208,266,ViT-B/32,1e-06,1.3405066,1000000
Race,European-American,African-American,sadness,not sadness,180,266,ViT-B/32,0.295218,0.056664888,1000000
Asian,European-American,Asian-American,sadness,apathy,104,28,ViT-B/32,1.0,-1.397631,1000000
Gender,Male,Female,sadness,apathy,208,28,ViT-B/32,0.03514,0.17756775,1000000
Race,European-American,African-American,sadness,apathy,180,28,ViT-B/32,1.0,-1.2420444,1000000
Asian,European-American,Asian-American,surprise,not surprise,104,42,ViT-B/32,0.937385,-0.2131125,1000000
Gender,Male,Female,surprise,not surprise,208,42,ViT-B/32,1e-06,1.0853899,1000000
Race,European-American,African-American,surprise,not surprise,180,42,ViT-B/32,0.999999,-0.51117605,1000000
Asian,European-American,Asian-American,surprise,apathy,104,28,ViT-B/32,1.0,-0.97523606,1000000
Gender,Male,Female,surprise,apathy,208,28,ViT-B/32,1.5e-05,0.4043811,1000000
Race,European-American,African-American,surprise,apathy,180,28,ViT-B/32,0.999972,-0.42181984,1000000
