Target,X,Y,A,B,nt,na,Attribute,model,pvalue,effect_size,npermutations
Arab-Muslim,Other-People,Arab-Muslim,Pleasant,Unpleasant,10,55,Valence,ViT-L/14,0.0034532031436056,1.1507252,184756
Asian,European-American,Asian-American,American,Foreign,6,6,Native,ViT-L/14,0.3149350649350649,0.30401382,924
Asian,European-American,Asian-American,Pleasant,Unpleasant,6,55,Valence,ViT-L/14,0.4242424242424242,0.121412896,924
Disabled,Disabled,Abled,Pleasant,Unpleasant,4,55,Valence,ViT-L/14,0.3714285714285714,0.22644798,70
Gender,Male,Female,Career,Family,40,21,Gender,ViT-L/14,0.021138,0.4544571,1000000
Gender,Male,Female,Pleasant,Unpleasant,40,55,Valence,ViT-L/14,0.991452,-0.52758074,1000000
Gender,Male,Female,Science,Liberal-Arts,40,21,Gender,ViT-L/14,0.005438,0.5633828,1000000
Insect-Flower,Flower,Insect,Pleasant,Unpleasant,35,55,Valence,ViT-L/14,1e-06,1.8960733,1000000
Native,Euro,Native,US,World,8,5,Native,ViT-L/14,0.9999222999223,-1.5681639,12870
Native,Euro,Native,Pleasant,Unpleasant,8,55,Valence,ViT-L/14,0.9954933954933954,-1.2504445,12870
Race,European-American,African-American,Pleasant,Unpleasant,6,55,Valence,ViT-L/14,0.0021645021645021,1.6693333,924
Religion,Christianity,Judaism,Pleasant,Unpleasant,7,55,Valence,ViT-L/14,0.5844988344988346,-0.1151781,3432
Sexuality,Gay,Straight,Pleasant,Unpleasant,9,55,Valence,ViT-L/14,0.9727272727272728,-0.89634866,48620
Skin-Tone,Light,Dark,Pleasant,Unpleasant,7,55,Valence,ViT-L/14,0.5856643356643356,-0.12030259,3432
Weapon,White,Black,Tool-modern,Weapon-modern,6,9,Weapon (Modern),ViT-L/14,0.8961038961038961,-0.7448397,924
Weapon,White,Black,Pleasant,Unpleasant,6,55,Valence,ViT-L/14,0.0032467532467532,1.4811713,924
Weapon,White,Black,Tool,Weapon,6,7,Weapon,ViT-L/14,0.5205627705627706,-0.02857643,924
Weight,Thin,Fat,Pleasant,Unpleasant,10,55,Valence,ViT-L/14,5.412544112234515e-06,1.7287253,184756
Age,Young,Old,Pleasant,Unpleasant,6,55,Valence,ViT-L/14@336px,0.987012987012987,-1.2226764,924
Arab-Muslim,Other-People,Arab-Muslim,Pleasant,Unpleasant,10,55,Valence,ViT-L/14@336px,0.0042434345839918,1.1233957,184756
Asian,European-American,Asian-American,American,Foreign,6,6,Native,ViT-L/14@336px,0.1829004329004329,0.5459044,924
Asian,European-American,Asian-American,Pleasant,Unpleasant,6,55,Valence,ViT-L/14@336px,0.8766233766233766,-0.69576544,924
Disabled,Disabled,Abled,Pleasant,Unpleasant,4,55,Valence,ViT-L/14@336px,0.3714285714285714,0.28347203,70
Gender,Male,Female,Career,Family,40,21,Gender,ViT-L/14@336px,0.015775,0.48062295,1000000
Gender,Male,Female,Pleasant,Unpleasant,40,55,Valence,ViT-L/14@336px,0.997606,-0.62224954,1000000
Gender,Male,Female,Science,Liberal-Arts,40,21,Gender,ViT-L/14@336px,0.003432,0.597017,1000000
Insect-Flower,Flower,Insect,Pleasant,Unpleasant,35,55,Valence,ViT-L/14@336px,1e-06,1.8999417,1000000
Native,Euro,Native,US,World,8,5,Native,ViT-L/14@336px,1.0,-1.6632968,12870
Native,Euro,Native,Pleasant,Unpleasant,8,55,Valence,ViT-L/14@336px,0.9988344988344988,-1.4186642,12870
Race,European-American,African-American,Pleasant,Unpleasant,6,55,Valence,ViT-L/14@336px,0.0021645021645021,1.5785564,924
Religion,Christianity,Judaism,Pleasant,Unpleasant,7,55,Valence,ViT-L/14@336px,0.5754662004662005,-0.10557291,3432
Sexuality,Gay,Straight,Pleasant,Unpleasant,9,55,Valence,ViT-L/14@336px,0.9590086384204032,-0.82068884,48620
Skin-Tone,Light,Dark,Pleasant,Unpleasant,7,55,Valence,ViT-L/14@336px,0.3668414918414918,0.18726467,3432
Weapon,White,Black,Tool-modern,Weapon-modern,6,9,Weapon (Modern),ViT-L/14@336px,0.7413419913419913,-0.38534248,924
Weapon,White,Black,Pleasant,Unpleasant,6,55,Valence,ViT-L/14@336px,0.0021645021645021,1.5206919,924
Weapon,White,Black,Tool,Weapon,6,7,Weapon,ViT-L/14@336px,0.6796536796536796,-0.2854254,924
Weight,Thin,Fat,Pleasant,Unpleasant,10,55,Valence,ViT-L/14@336px,5.412544112234515e-06,1.6642301,184756
